# kblocks nradsets pmax_rec p_test odd_part
1 2 22788 21647 1
2 2 44888 42643 1
3 1 66742 63397 3
4 2 88438 84011 1
5 1 110018 104513 5
6 1 131506 124919 3
7 1 152918 145267 7
8 4 174264 165541 1
9 1 195554 185767 9
10 2 216793 205951 5
11 1 237987 226087 11
12 4 259141 246173 3
13 1 280257 266239 13
14 2 301338 286249 7
15 1 322387 306263 15
16 3 343407 326219 1
18 2 385364 366077 9
20 4 427222 405857 5
22 2 468991 445541 11
24 4 510679 485137 3
26 2 552293 524669 13
28 4 593840 564133 7
30 2 635323 603553 15
32 4 676747 642907 1
36 2 759433 721451 9
40 3 841923 799817 5
44 2 924237 878023 11
48 3 1006392 956057 3
52 2 1088401 1033951 13
56 3 1170275 1111757 7
60 2 1252024 1189417 15
64 5 1333656 1266953 1
72 2 1496601 1421759 9
80 3 1659158 1576177 5
88 2 1821367 1730263 11
96 2 1983260 1884083 3
104 2 2144864 2037619 13
112 2 2306201 2190887 7
120 2 2467291 2343917 15
128 5 2628150 2496737 1
144 3 2949234 2801767 9
160 4 3269550 3106069 5
176 3 3589176 3409711 11
192 4 3908176 3712757 3
208 3 4226604 4015273 13
224 4 4544502 4317263 7
240 3 4861911 4618813 15
256 7 5178863 4919911 1
288 3 5811507 5520929 9
320 6 6442630 6120497 5
352 3 7072384 6718763 11
384 5 7700897 7315849 3
416 3 8328273 7911859 13
448 6 8954601 8506867 7
480 3 9579957 9100951 15
512 9 10204406 9694141 1
576 5 11450805 10878239 9
640 7 12694184 12059459 5
704 5 13934849 13238101 11
768 7 15173048 14414377 3
832 4 16408992 15588533 13
896 6 17642854 16760693 7
960 5 18874785 17931031 15
992 2 19490068 18515561 31
1008 3 19797545 18807667 63
1024 12 20104916 19099651 1
1152 4 22560217 21432199 9
1280 6 25009519 23759039 5
1408 4 27453429 26080753 11
1536 5 29892444 28397797 3
1664 3 32326975 30710597 13
1792 5 34757372 33019501 7
1920 4 37183933 35324719 15
1984 1 38395857 36476059 31
2016 3 39001493 37051411 63
2048 10 39606917 37626571 1
2304 5 44443027 42220837 9
2560 6 49267215 46803803 5
2816 6 54080687 51376631 11
3072 6 58884428 55940179 3
3328 4 63679258 60495293 13
3584 5 68465868 65042569 7
3840 5 73244853 69582593 15
3968 1 75631648 71850059 31
4032 4 76824398 72983147 63
4096 11 78016725 74115883 1
4608 7 87540871 83163809 9
5120 8 97041311 92189243 5
5632 6 106520441 101194403 11
6144 7 115980220 110181193 3
6656 4 125422275 119151139 13
7168 6 134847983 128105573 7
7680 5 144258522 137045593 15
7936 1 148958427 141510493 31
8064 3 151307091 143741729 63
8192 8 153654913 145972133 1
9216 7 172408710 163788263 9
10240 8 191115346 181559569 5
11264 5 209779586 199290587 11
12288 7 228405322 216985051 3
13312 3 246995793 234646001 13
14336 3 265553736 252276049 7
15360 3 284081492 269877401 15
15872 1 293334696 278667953 31
16128 3 297958732 283060777 63
16384 7 302581093 287452037 1
18432 3 339502711 322527523 9
20480 4 376330465 357513901 5
22528 3 413073835 392420131 11
24576 4 449740563 427253531 3
26624 2 486337093 462020233 13
28672 3 522868869 496725413 7
30720 3 559340552 531373523 15
31744 2 577555142 548677369 31
32256 3 586657328 557324389 63
32768 7 595756181 565968341 1
36864 3 668432976 635011213 9
40960 5 740922886 703876727 5
45056 3 813244776 772582523 11
49152 5 885414055 841143343 3
53248 2 957443546 909571309 13
57344 4 1029344085 977876863 7
61440 5 1101124952 1046068703 15
63488 1 1136973063 1080124373 31
64512 3 1154886943 1097142589 63
65536 10 1172794185 1114154473 1
73728 4 1315825018 1250033717 9
81920 5 1458483632 1385559403 5
90112 4 1600807583 1520767187 11
98304 5 1742827549 1655686157 3
106496 3 1884569060 1790340599 13
114688 4 2026053695 1924750991 7
122880 3 2167299932 2058934903 15
129024 3 2273087866 2159433439 63
131072 7 2308323773 2192907583 1
147456 3 2589758580 2460270649 9
163840 4 2870451808 2726929213 5
180224 3 3150478252 2992954339 11
196608 4 3429899013 3258404057 3
212992 2 3708764937 3523326661 13
229376 3 3987119006 3787763053 7
245760 3 4264998026 4051748089 15
258048 3 4473114873 4249459091 63
262144 8 4542433872 4315312151 1
294912 4 5096084235 4841279999 9
327680 5 5648256731 5365843849 5
360448 4 6199100369 5889145343 11
393216 5 6748736872 6411300013 3
425984 3 7297267547 6932404169 13
458752 4 7844778027 7452539123 7
491520 4 8391341650 7971774563 15
516096 2 8800681511 8360647429 63
524288 6 8937021925 8490170809 1
