# kblocks nradsets pmax_rec p_test odd_part
2 2 44683 42443 1
3 2 66435 63113 3
4 3 88029 83621 1
5 3 109506 104021 5
6 3 130892 124343 3
7 3 152201 144589 7
8 4 173445 164771 1
9 4 194632 184879 9
10 6 215769 204979 5
11 4 236861 224993 11
12 6 257912 244997 3
13 4 278925 264977 13
14 6 299904 284899 7
15 4 320851 304807 15
16 5 341769 324673 1
18 6 383521 364337 9
20 6 425174 403901 5
22 6 466738 443389 11
24 6 508222 482803 3
26 6 549631 522127 13
28 6 590972 561419 7
30 6 632251 600631 15
32 5 673470 639757 1
36 4 755746 717923 9
40 4 837827 795931 5
44 4 919732 873739 11
48 4 1001477 951389 3
52 4 1083076 1028903 13
56 4 1164540 1106311 7
60 4 1245880 1183579 15
64 6 1327103 1260733 1
72 4 1489228 1414741 9
80 4 1650966 1568389 5
88 4 1812356 1721729 11
96 5 1973430 1874729 3
104 4 2134214 2027503 13
112 5 2294732 2179993 7
120 4 2455003 2332249 15
128 7 2615043 2484289 1
144 6 2934488 2787751 9
160 6 3253166 3090497 5
176 6 3571154 3392563 11
192 6 3888516 3694063 3
208 6 4205304 3995029 13
224 6 4521565 4295479 7
240 6 4837335 4595443 15
256 10 5152648 4894999 1
288 3 5782016 5492897 9
320 6 6409862 6089351 5
352 3 7036339 6684497 11
384 5 7661575 7278473 3
416 3 8285675 7871389 13
448 6 8908726 8463289 7
480 3 9530805 9054259 15
512 9 10151977 9644377 1
576 5 11391823 10822223 9
640 7 12628648 11997199 5
704 5 13862759 13169609 11
768 7 15094405 14339671 3
832 4 16323795 15507601 13
896 6 17551103 16673519 7
960 5 18776481 17837653 15
992 2 19388487 18419059 31
1008 3 19694326 18709609 63
1024 12 20000058 19000043 1
1152 4 22442252 21320107 9
1280 6 24878447 23634503 5
1408 4 27309250 25943773 11
1536 5 29735157 28248397 3
1664 3 32156582 30548743 13
1792 5 34573872 32845177 7
1920 4 36987325 35137957 15
1984 1 38192696 36283033 31
2016 3 38795055 36855253 63
2048 10 39397201 37427333 1
2304 5 44207097 41996737 9
2560 6 49005071 46554817 5
2816 6 53792328 51102691 11
3072 6 58569855 55641349 3
3328 4 63338470 60171541 13
3584 5 68098867 64693921 7
3840 5 72851637 69209053 15
3968 1 75225325 71464031 31
4032 4 76411521 72590927 63
4096 11 77597294 73717421 1
4608 7 87069012 82715551 9
5120 8 96517023 91691153 5
5632 6 105943724 100646527 11
6144 7 115351074 109583501 3
6656 4 124740700 118503643 13
7168 6 134113980 127408249 7
7680 5 143472090 136298479 15
7936 1 148145781 140738489 31
8064 3 150481337 142957249 63
8192 8 152816052 145175249 1
9216 7 171464992 162891713 9
10240 8 190066770 180563431 5
11264 5 208626152 198194837 11
12288 7 227147031 215789599 3
13312 3 245632644 233350979 13
14336 3 264085729 250881431 7
15360 3 282508628 268383187 15
15872 1 291709403 277123927 31
16128 3 296307224 281491853 63
16384 7 300903371 285858197 1
18432 3 337615274 320734507 9
20480 4 374233313 355521623 5
22528 3 410766968 390228607 11
24576 4 447223981 424862777 3
26624 2 483610796 459430207 13
28672 3 519932856 493936213 7
30720 3 556194824 528385057 15
31744 1 574304557 545589299 31
32256 3 583354314 554186573 63
32768 7 592400738 562780681 1
36864 3 664658102 631425167 9
40960 5 736728582 699892147 5
45056 3 808631042 768199483 11
49152 5 880380890 836361809 3
53248 2 951990950 904391401 13
57344 4 1023472059 972298451 7
61440 5 1094833496 1040091821 15
63488 1 1130471891 1073948237 31
64512 3 1148280914 1090866841 63
65536 8 1166083299 1107779131 1
73728 4 1308275271 1242861493 9
81920 5 1450095024 1377590261 5
90112 4 1591580114 1512001081 11
98304 5 1732761219 1646123137 3
106496 3 1873663870 1779980651 13
114688 4 2014309644 1913594129 7
122880 3 2154717020 2046981151 15
129024 3 2259875809 2146881949 63
131072 7 2294902000 2180156873 1
147456 3 2574659086 2445926123 9
163840 4 2853674592 2710990837 5
180224 3 3132023315 2975422141 11
196608 4 3409766353 3239278033 3
212992 2 3686954556 3502606817 13
229376 3 3963630903 3765449351 7
245760 3 4239832202 4027840567 15
258048 3 4446690758 4224356207 63
262144 8 4515590327 4289810779 1
294912 4 5065885246 4812590971 9
327680 5 5614702299 5333967173 5
360448 4 6162190494 5854080961 11
393216 5 6708471554 6373047953 3
425984 3 7253646785 6890964439 13
458752 4 7797801823 7407911701 7
491520 4 8341010002 7923959467 15
516096 2 8747833281 8310441599 63
524288 6 8883334834 8439168083 1
